iter	RMSE
0	2.905556811
1	2.899908217
2	2.893653933
3	2.889433873
4	2.883239876
5	2.880891232
6	2.877031113
7	2.872549349
8	2.870365331
9	2.866379935
10	2.862371139
11	2.857898589
12	2.855478782
13	2.851207957
14	2.851126802
15	2.849732068
16	2.84520005
17	2.844271316
18	2.84093738
19	2.835517618
20	2.831777115
21	2.830676768
22	2.827371073
23	2.822734117
24	2.818827877
25	2.816041575
26	2.813919903
27	2.811437109
28	2.80874145
29	2.806408293
30	2.806064296
31	2.803924748
32	2.799177375
33	2.797956851
34	2.79573369
35	2.791655617
36	2.78979941
37	2.788365858
38	2.786849828
39	2.786724119
40	2.785240777
41	2.781645009
42	2.779853119
43	2.779475015
44	2.774459321
45	2.772468014
46	2.769294435
47	2.767774587
48	2.765574591
49	2.763762381
50	2.762141612
51	2.759028784
52	2.75561821
53	2.753815918
54	2.751561723
55	2.749956742
56	2.74866677
57	2.745415223
58	2.743856596
59	2.742686786
60	2.741688488
61	2.74069695
62	2.739112539
63	2.737038661
64	2.736572605
65	2.734633461
66	2.731284234
67	2.729433035
68	2.727123444
69	2.723631642
70	2.722200742
71	2.720569005
72	2.717744754
73	2.71185337
74	2.711163059
75	2.709849128
76	2.708545741
77	2.70581157
78	2.704317964
79	2.703120739
80	2.701264954
81	2.700072382
82	2.698131947
83	2.6975437
84	2.695637603
85	2.693002559
86	2.691984651
87	2.691676138
88	2.690480824
89	2.689476712
90	2.687076965
91	2.685413611
92	2.683986086
93	2.683807788
94	2.682880921
95	2.682699962
96	2.682547868
97	2.68168926
98	2.680126977
99	2.679572177
100	2.677599124
101	2.675951337
102	2.674472985
103	2.674387761
104	2.671667436
105	2.670916732
106	2.670071027
107	2.667360061
108	2.666672178
109	2.66469217
110	2.66389913
111	2.660250019
112	2.658737671
113	2.657442277
114	2.655656661
115	2.654523393
116	2.653617614
117	2.652082672
118	2.651080143
119	2.647969063
120	2.647050234
121	2.645744152
122	2.644896036
123	2.644380152
124	2.643642797
125	2.641835821
126	2.640884538
127	2.639466884
128	2.637805815
129	2.635772325
130	2.634713367
131	2.632813079
132	2.632070019
133	2.630886416
134	2.629718336
135	2.62828596
136	2.6281805
137	2.627827805
138	2.626341373
139	2.62423844
140	2.623517857
141	2.62109758
142	2.619343171
143	2.618476215
144	2.617330966
145	2.614748428
146	2.613969113
147	2.61124966
148	2.610847467
149	2.609775275
150	2.607970256
151	2.606815149
152	2.606500458
153	2.604587196
154	2.60270642
155	2.600453973
156	2.60009604
157	2.597031668
158	2.59625034
159	2.594641474
160	2.593653462
161	2.593032044
162	2.590543263
163	2.590287577
164	2.589182895
165	2.587646643
166	2.586311714
167	2.584966856
168	2.581259132
169	2.578147525
170	2.576913028
171	2.574810164
172	2.573700352
173	2.572942794
174	2.572103037
175	2.570965274
176	2.568944387
177	2.567590047
178	2.56721134
179	2.5661721
180	2.565156984
181	2.56502433
182	2.562222508
183	2.561795208
184	2.560631543
185	2.557810285
186	2.556733435
187	2.556462257
188	2.55310896
189	2.552375964
190	2.549798405
191	2.547373969
192	2.547035492
193	2.546722351
194	2.544217183
195	2.54400123
196	2.542590456
197	2.54100482
198	2.538917197
199	2.537189652
200	2.535595314
201	2.534311115
202	2.53386331
203	2.533195239
204	2.532462558
205	2.531882287
206	2.531378959
207	2.531293556
208	2.530604782
209	2.52889462
210	2.527463799
211	2.526966204
212	2.52605838
213	2.523757839
214	2.523297392
215	2.520966182
216	2.518941171
217	2.518631294
218	2.516246505
219	2.514515459
220	2.512999789
221	2.512794924
222	2.512518503
223	2.511652833
224	2.511316634
225	2.508577961
226	2.507020803
227	2.505638788
228	2.503397528
229	2.501856239
230	2.500001975
231	2.49980438
232	2.496947205
233	2.495011819
234	2.494104786
235	2.49241348
236	2.489792731
237	2.489003614
238	2.487349237
239	2.486527427
240	2.483001572
241	2.481560854
242	2.479974532
243	2.479856619
244	2.478332946
245	2.477926981
246	2.476620572
247	2.473844167
248	2.472910399
249	2.472382636
250	2.471102937
251	2.469870077
252	2.469105674
253	2.469002042
254	2.468519711
255	2.467803029
256	2.466022123
257	2.462282757
258	2.460753896
259	2.458806118
260	2.458560387
261	2.457107859
262	2.455675121
263	2.454895182
264	2.451594645
265	2.45080852
266	2.448094616
267	2.447192409
268	2.446882164
269	2.444691793
270	2.442224727
271	2.441226473
272	2.439903335
273	2.439428537
274	2.439144985
275	2.437581355
276	2.435862403
277	2.434327408
278	2.433257278
279	2.430308595
280	2.42985943
281	2.42929111
282	2.427727708
283	2.427079823
284	2.426897965
285	2.425059202
286	2.424358759
287	2.423357377
288	2.421429383
289	2.420385796
290	2.419016625
291	2.416950179
292	2.414307578
293	2.412475097
294	2.412333658
295	2.410589454
296	2.407623144
297	2.40745645
298	2.406490307
299	2.404963002
300	2.403032792
301	2.402875303
302	2.402688102
303	2.402132559
304	2.40133449
305	2.400811189
306	2.397367016
307	2.396903236
308	2.396616914
309	2.39558033
310	2.395404504
311	2.394502928
312	2.394316547
313	2.393078914
314	2.391347847
315	2.389690591
316	2.389462045
317	2.389337881
318	2.387325552
319	2.38682951
320	2.386267222
321	2.384407082
322	2.383130884
323	2.382931993
324	2.38157865
325	2.379885427
326	2.379661377
327	2.379338063
328	2.377937265
329	2.376690692
330	2.376548576
331	2.375173251
332	2.375047969
333	2.373218527
334	2.37308019
335	2.370788003
336	2.368902593
337	2.368498009
338	2.365531952
339	2.364522555
340	2.364308538
341	2.364222458
342	2.359961232
343	2.359579925
344	2.358807504
345	2.356302426
346	2.352318259
347	2.347766615
348	2.346098948
349	2.34323899
350	2.340169736
351	2.336447005
352	2.334198505
353	2.333436876
354	2.330934495
355	2.329952382
356	2.327693727
357	2.324221808
358	2.322609111
359	2.322510266
360	2.319536395
361	2.316238203
362	2.31557759
363	2.315004177
364	2.313245387
365	2.313157232
366	2.313075391
367	2.312552914
368	2.312397404
369	2.309812758
370	2.309206333
371	2.307846254
372	2.307656559
373	2.306682158
374	2.305684357
375	2.304994777
376	2.303403256
377	2.303048487
378	2.30033004
379	2.299096584
380	2.297218806
381	2.295719772
382	2.294161498
383	2.293020629
384	2.292085022
385	2.28896016
386	2.288032464
387	2.285825745
388	2.285588407
389	2.284284356
390	2.28267847
391	2.280885634
392	2.28051394
393	2.279544775
394	2.277693696
395	2.27762716
396	2.277557861
397	2.27656428
398	2.273943106
399	2.273822821
400	2.273695702
401	2.271458022
402	2.268207604
403	2.266145078
404	2.263362297
405	2.262612923
406	2.262056447
407	2.261963789
408	2.261514337
409	2.257900001
410	2.257788401
411	2.256545343
412	2.256454989
413	2.254644965
414	2.254541206
415	2.253522107
416	2.252477613
417	2.250101221
418	2.248092962
419	2.246764686
420	2.246686268
421	2.245988836
422	2.244823623
423	2.24435328
424	2.242702384
425	2.242585683
426	2.241608595
427	2.240486307
428	2.238940165
429	2.236777108
430	2.234987503
431	2.233225062
432	2.232085019
433	2.230970711
434	2.230923538
435	2.23041935
436	2.22957956
437	2.2294903
438	2.226417292
439	2.223847727
440	2.221769407
441	2.220971835
442	2.219386955
443	2.217871601
444	2.21598801
445	2.215836896
446	2.213175213
447	2.212272888
448	2.2110106
449	2.207977221
450	2.207735155
451	2.207429242
452	2.206909727
453	2.20498013
454	2.204765224
455	2.203909003
456	2.203639406
457	2.202534374
458	2.201418623
459	2.200496126
460	2.199316633
461	2.197792639
462	2.196702236
463	2.193996472
464	2.192453167
465	2.189780563
466	2.188778326
467	2.187770528
468	2.187746605
469	2.187308805
470	2.184614249
471	2.182777255
472	2.179148711
473	2.17797421
474	2.17758353
475	2.176059981
476	2.173811359
477	2.173032382
478	2.172946239
479	2.171608661
480	2.169958784
481	2.16953876
482	2.169467371
483	2.166215391
484	2.164234572
485	2.163960424
486	2.163676965
487	2.163131812
488	2.161219084
489	2.161098171
490	2.159298969
491	2.159243475
492	2.157995215
493	2.157550073
494	2.156211745
495	2.155767548
496	2.15520019
497	2.152356018
498	2.150924282
499	2.14994426
500	2.148991026
501	2.146427905
502	2.145821011
503	2.145726335
504	2.14546329
505	2.145173535
506	2.145109826
507	2.142829037
508	2.141730906
509	2.141539991
510	2.140274064
511	2.138237224
512	2.136884594
513	2.136113444
514	2.135170174
515	2.13296567
516	2.132422633
517	2.131924231
518	2.130030484
519	2.129220335
520	2.127486975
521	2.127419369
522	2.126681585
523	2.125519618
524	2.12321387
525	2.12285459
526	2.120867144
527	2.120545385
528	2.12035973
529	2.118343855
530	2.115887796
531	2.114737284
532	2.112857119
533	2.110914929
534	2.110190779
535	2.109511962
536	2.10880656
537	2.106943214
538	2.106502231
539	2.105148324
540	2.104197616
541	2.103183977
542	2.100745781
543	2.099674353
544	2.098258909
545	2.096950644
546	2.09638643
547	2.0942325
548	2.09263166
549	2.091949107
550	2.090097174
551	2.088736136
552	2.0865031
553	2.084036564
554	2.082798828
