iter	Passed	Remaining
0	74	74665
1	144	71949
2	207	69081
3	281	70043
4	357	71070
5	384	63627
6	474	67337
7	551	68373
8	598	65875
9	680	67365
10	751	67608
11	837	68934
12	898	68192
13	974	68647
14	996	65417
15	1019	62673
16	1103	63806
17	1140	62213
18	1206	62272
19	1287	63077
20	1362	63532
21	1429	63525
22	1486	63163
23	1589	64657
24	1669	65118
25	1752	65653
26	1870	67424
27	1941	67411
28	2007	67202
29	2088	67521
30	2147	67129
31	2244	67905
32	2316	67887
33	2412	68552
34	2485	68526
35	2585	69223
36	2662	69285
37	2744	69483
38	2782	68573
39	2824	67799
40	2896	67759
41	2980	67990
42	3095	68882
43	3153	68526
44	3219	68317
45	3288	68205
46	3363	68203
47	3444	68306
48	3517	68275
49	3610	68591
50	3676	68405
51	3745	68282
52	3800	67902
53	3887	68108
54	3961	68064
55	4051	68292
56	4149	68651
57	4231	68730
58	4344	69286
59	4436	69504
60	4470	68814
61	4546	68780
62	4621	68737
63	4696	68680
64	4764	68530
65	4848	68608
66	4933	68694
67	5025	68872
68	5096	68760
69	5176	68775
70	5257	68785
71	5314	68497
72	5382	68355
73	5463	68362
74	5519	68071
75	5616	68285
76	5700	68333
77	5772	68236
78	5844	68141
79	5940	68311
80	6021	68314
81	6107	68376
82	6186	68345
83	6258	68249
84	6323	68071
85	6406	68090
86	6488	68087
87	6566	68056
88	6635	67924
89	6714	67886
90	6769	67621
91	6866	67771
92	6934	67629
93	6968	67162
94	7040	67071
95	7092	66783
96	7147	66535
97	7217	66432
98	7268	66154
99	7352	66169
100	7429	66128
101	7495	65986
102	7581	66027
103	7607	65541
104	7670	65385
105	7720	65110
106	7789	65007
107	7860	64918
108	7924	64774
109	8020	64894
110	8100	64873
111	8172	64799
112	8237	64661
113	8303	64532
114	8375	64455
115	8444	64352
116	8525	64345
117	8589	64200
118	8642	63983
119	8716	63921
120	8783	63804
121	8847	63676
122	8919	63596
123	9011	63659
124	9098	63687
125	9198	63804
126	9268	63714
127	9363	63787
128	9441	63750
129	9513	63667
130	9589	63610
131	9667	63569
132	9735	63465
133	9802	63350
134	9879	63300
135	9953	63234
136	9997	62979
137	10076	62943
138	10147	62854
139	10212	62733
140	10271	62577
141	10348	62526
142	10417	62431
143	10511	62486
144	10598	62495
145	10681	62478
146	10761	62444
147	10843	62424
148	10918	62361
149	11002	62345
150	11088	62343
151	11170	62317
152	11241	62232
153	11328	62235
154	11398	62139
155	11471	62061
156	11554	62040
157	11636	62013
158	11709	61936
159	11786	61881
160	11906	62048
161	11985	62000
162	12068	61972
163	12150	61939
164	12237	61927
165	12310	61851
166	12411	61906
167	12490	61859
168	12577	61844
169	12654	61783
170	12724	61686
171	12800	61622
172	12876	61552
173	12963	61539
174	13045	61500
175	13107	61365
176	13164	61213
177	13214	61023
178	13299	60998
179	13361	60868
180	13429	60768
181	13516	60748
182	13593	60688
183	13672	60634
184	13763	60635
185	13845	60591
186	13909	60474
187	13977	60372
188	14057	60322
189	14149	60320
190	14204	60164
191	14293	60152
192	14390	60171
193	14484	60177
194	14550	60069
195	14632	60021
196	14696	59904
197	14775	59847
198	14859	59810
199	14922	59691
200	15016	59694
201	15079	59572
202	15138	59433
203	15186	59256
204	15247	59131
205	15329	59084
206	15379	58919
207	15442	58798
208	15510	58703
209	15569	58572
210	15646	58507
211	15719	58429
212	15782	58314
213	15854	58233
214	15930	58165
215	16051	58260
216	16120	58169
217	16173	58016
218	16256	57975
219	16338	57928
220	16415	57862
221	16510	57862
222	16577	57760
223	16655	57700
224	16720	57592
225	16788	57496
226	16852	57387
227	16967	57452
228	17031	57341
229	17107	57272
230	17159	57122
231	17226	57025
232	17322	57021
233	17400	56960
234	17471	56874
235	17552	56821
236	17627	56749
237	17681	56610
238	17775	56599
239	17852	56533
240	17920	56439
241	18005	56397
242	18093	56365
243	18166	56284
244	18257	56262
245	18344	56226
246	18417	56146
247	18492	56073
248	18570	56009
249	18639	55919
250	18711	55836
251	18812	55840
252	18885	55760
253	18963	55694
254	19035	55613
255	19120	55569
256	19202	55514
257	19301	55510
258	19358	55384
259	19452	55364
260	19547	55347
261	19615	55254
262	19704	55217
263	19797	55193
264	19855	55071
265	19951	55053
266	20050	55045
267	20117	54948
268	20171	54816
269	20250	54751
270	20318	54656
271	20400	54600
272	20471	54514
273	20559	54475
274	20610	54337
275	20683	54258
276	20751	54163
277	20809	54045
278	20888	53980
279	20954	53883
280	21069	53910
281	21140	53825
282	21205	53726
283	21280	53651
284	21326	53504
285	21395	53413
286	21468	53335
287	21537	53245
288	21613	53174
289	21668	53049
290	21748	52988
291	21819	52904
292	21879	52794
293	21969	52757
294	22057	52713
295	22118	52606
296	22184	52510
297	22259	52435
298	22335	52365
299	22413	52298
300	22492	52234
301	22555	52131
302	22618	52029
303	22711	51998
304	22791	51933
305	22880	51891
306	22993	51903
307	23074	51842
308	23124	51711
309	23191	51618
310	23253	51515
311	23336	51460
312	23422	51410
313	23488	51314
314	23581	51279
315	23651	51194
316	23752	51176
317	23828	51104
318	23907	51036
319	23978	50955
320	24075	50926
321	24154	50859
322	24254	50837
323	24323	50748
324	24402	50681
325	24507	50669
326	24595	50619
327	24674	50552
328	24743	50464
329	24823	50398
330	24923	50373
331	25012	50326
332	25095	50265
333	25177	50204
334	25246	50116
335	25312	50022
336	25397	49965
337	25472	49889
338	25561	49840
339	25654	49800
340	25737	49738
341	25793	49626
342	25861	49535
343	25943	49473
344	26020	49400
345	26090	49315
346	26167	49243
347	26272	49222
