title,price,size,unit,streetAddress,addressLocality,addressRegion,time_update,post_id,direction,listing_type,road_width,property_type,legal_documents,width,length,num_floors,num_bedrooms,has_dining_room,has_kitchen,has_rooftop,has_parking,is_owner
🍀🍀🍀Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 630Triệu - 120m2,630 triệu,120,m²,Đường Trịnh Như Khuê,Xã Bình Chánh,Hồ Chí Minh,2025-10-13,17230039,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,19m,1,3,yes,yes,yes,yes,
CỰC HIẾM_NHÀ C4 MẶT PHỐ DOÃN UẨN–VIEW PHÁO HOA 2026–148M² SÁT SÔNG LIỀN BIỂN–TT NAM VIỆT Á,"10,5 tỷ",148,m²,Đường Doãn Uẩn,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17363855,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,1,6,,,,,
"Bán nhà Trường Chinh, 5x16, có 7 phòng trọ, phường 15, Tân Bình, giá 6,8 tỷ","6,8 tỷ",80,m²,Đường Trường Chinh,Phường Tân Sơn,Hồ Chí Minh,2025-10-13,17486637,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,2,7,,,,,
"Bán nhà Phan Huy Ích 14x33, Biệt Thự cổ, chính chủ, Phường 15, Tân Bình, giá 38 tỷ",38 tỷ,462,m²,Đường Phan Huy Ích,Phường Tân Sơn,Hồ Chí Minh,2025-10-13,17487248,,Cần bán,12m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,14m,33m,3,3,,,,,
Kẹt tiền nên chú Hai cần bán gấp 2 căn nhà đang cho thuê kinh doanh BÁN SỮA và HỦ TIẾU,650 triệu,120,m²,Đường Trịnh Như Khuê,Xã Bình Chánh,Hồ Chí Minh,2025-10-13,17451076,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,20m,2,3,yes,yes,,,
"Nhà Mặt Ngõ Định Công Thượng Định Công Hoàng Mai 55m 14tỷ 5Tầng Mt4,5m Oto Đỗ Cửa",14 tỷ,55,m²,Đường Định Công Thượng,Phường Định Công,Hà Nội,2025-10-13,17463289,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",,5,6,yes,yes,yes,yes,
"LIỀN KỀ KĐT MỚI ĐẠI KIM HOÀNG MAI 72M 25,5 TỶ 5TẦNG MT6,3M OTO TRÁNH ĐỖ KINH DOANH ĐỈNH","25,5 tỷ",72,m²,Đường Kim Giang,Phường Hoàng Liệt,Hà Nội,2025-10-13,16708804,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,3m",,5,6,yes,yes,yes,yes,
Mặt Phố Trần Nguyên Đán Định Công Hoàng Mai 60m 28.5Tỷ 4Tầng Mt5m Oto Tránh Kinh Doanh,"28,5 tỷ",60,m²,Đường Trần Nguyên Đán,Phường Định Công,Hà Nội,2025-10-13,16043155,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,4,5,yes,yes,yes,yes,
SỤP HẦM-BÁN SIÊU PHẨM-MẶT TIỀN NGUYỄN KHUYẾN – KINH DOANH ĐỈNH – 160M² – GIÁ CHỈ 9.5 TỶ,"9,5 tỷ",160,m²,Đường Nguyễn Khuyến,Phường Hòa Khánh,Đà Nẵng,2025-10-13,17483446,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",,1,5,yes,yes,,yes,
"ĐẤT NỀN NGAY CHỢ BÀU BÀNG, CHÍNH CHỦ GIÁ TỐT NHẤT THỊ TRƯỜNG, NGUỒN KÍN","1,55 tỷ",150,m²,Đường Đại Lộ Bình Dương,Xã Bàu Bàng,Hồ Chí Minh,2025-10-13,17460341,,Cần bán,8m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,30m,,,,,,,
"ĐẤT NỀN NGANG 10M, DÀI 30M, NGAY SÁT KHU CHỢ, MẶT TIỀN CHO THUÊ 15TR/THÁNG","3,5 tỷ",300,m²,Đường Quốc Lộ 13,Xã Bàu Bàng,Hồ Chí Minh,2025-10-13,17467738,,Cần bán,16m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,10m,30m,,,,,,,
Nhà Hẻm Oto-Rẻ Nhất- 4 Tầng- 5x10m - 3 Phòng Ngủ Master-6 tỷ 150,"6,15 tỷ",50,m²,Đường Huỳnh Tấn Phát,Xã Nhà Bè,Hồ Chí Minh,2025-10-13,17423594,,Cần bán,6m,Nhà trong hẻm,,5m,10m,4,3,yes,yes,yes,yes,
🔥 SIÊU HIẾM! NHÀ 2 MẶT TIỀN XÔ VIẾT NGHỆ TĨNH – HẢI CHÂU – MÓNG 5 TẦNG – GIÁ CHỈ 30 TỶ 🔥,30 tỷ,158,m²,Đường Xô Viết Nghệ Tĩnh,Phường Hòa Cường,Đà Nẵng,2025-10-13,17373264,,Cần bán,"10,m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",,2,4,,,,,
💥 Shophouse Trung Nguyên Đẹp Nhất Dự Án chỉ 01 căn Duy Nhất,"7,8 tỷ",125,m²,Đường Nguyễn Đình Chiểu,Phường Buôn Ma Thuột,Đắk Lắk,2025-10-13,16379341,,Cần bán,23m,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,5m,30m,4,4,yes,yes,yes,yes,
Bán toà nhà 3tầng mặt tiền đường trung tâm Đà Nẵng,"10,3 tỷ",112,m²,Đường Mai Lão Bạng,Phường Hải Châu,Đà Nẵng,2025-10-13,17482927,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,1m",12m,3,3,yes,yes,yes,yes,
Bán toà căn hộ cao tầng 8 tầng 2 mặt tiền đường VIP sơn trà Đà Nẵng,36 tỷ,136,m²,Đường Lê Phụng Hiểu,Phường An Hải,Đà Nẵng,2025-10-13,17487281,,Cần bán,7m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,20m,8,18,yes,yes,yes,yes,
Bán căn nhà 2tầng sát Bãi biến mỹ khê Đà Nẵng,"4,95 tỷ",83,m²,Đường Nguyễn Phan Vinh,Phường Sơn Trà,Đà Nẵng,2025-10-13,17487029,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,",6m",15m,2,4,yes,yes,yes,yes,
Bán toà nhà 5tầng VIP phố Tây An thượng Đà Nẵng,36 tỷ,140,m²,Đường Châu Thị Vĩnh Tế,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17473702,Đông Nam,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,25m,10m,5,10,yes,yes,yes,yes,
BÌNH TÂN _CHÍNH CHỦ GỬI BÁN MẶT TIỀN TÂY LÂN TÒA 100 CHDV - TN 500TR/THÁNG - GIÁ 88 TỶ,88 tỷ,1.140,m²,Đường Tây Lân,Phường Bình Tân,Hồ Chí Minh,2025-10-13,17487808,,Cần bán,20m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,25m,45m,6,100,yes,yes,yes,yes,
SIÊU HOT NHÀ MẶT TIỀN TIÊN SƠN 18 - 90M2 - 4 TẦNG 4 MÊ - GẦN CHỢ ĐẦU MỐI -NHÀ MỚI-9.5 TỶ,"9,5 tỷ",90,m²,Đường Tiên Sơn 18,Phường Hòa Cường,Đà Nẵng,2025-10-13,17352467,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,4,4,yes,yes,yes,yes,
"NHÀ MẶT TIỀN HOÀNG ĐẠO THUÝ – 110M² - 3 TẦNG 3 MÊ - NHÀ MỚI, TẶNG NỘI THẤT – GIÁ 7.9 TỶ","7,9 tỷ",108,m²,Đường Hoàng Đạo Thúy,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17355698,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,3,5,,,,,
NHÀ  NGUYỄN TRI PHƯƠNG – 90M² – LÔ GÓC 2 MẶT KIỆT – GẦN CHỢ TÂN LẬP – 5.85 TỶ,"5,85 tỷ",90,m²,Đường Nguyễn Tri Phương,Phường Thanh Khê,Đà Nẵng,2025-10-13,16789835,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,,3,3,,,,,
💥XÓT ĐÚNG CĂN MẶT TIỀN HÒA CƯỜNG–4 TẦNG KIÊN CỐ MỚI CỨNG–90M²–Ở NGAY–GIÁ NHỈNH 9 TỶ🍀🌹🍀,"9,5 tỷ",90,m²,Đường Tiên Sơn 18,Phường Hòa Cường,Đà Nẵng,2025-10-13,17487639,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,4,3,,,,,
NHÀ 3 TẦNG ĐẸP KIỆT 5M TÔN ĐỨC THẮNG - XE ĐẬU 24/24 - SÁT ĐẠI HỌC SƯ PHẠM- NHỈNH 4 TỶ,"4,8 tỷ",60,m²,Đường Tôn Đức Thắng,Phường Hòa Khánh,Đà Nẵng,2025-10-13,17469205,Đông Nam,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,,3,3,yes,yes,yes,yes,
"Góc 3 Mặt Tiền Nguyễn Hữu Thọ, Nhà Bè. DT: 20m x 71m, CN: 1.430m2, 2T - HĐT 428tr - 99 tỷ",99 tỷ,1.430,m²,Đường Nguyễn Hữu Thọ,Xã Nhà Bè,Hồ Chí Minh,2025-10-13,17483044,,Cần bán,40m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,20m,71m,2,2,,,,,
Bình Tân! Khu Tên Lửa. Bán tòa 80 CHDV | HĐT khoán: 220tr/tháng ~ 6%/năm | Giá: 45 tỷ,45 tỷ,300,m²,Đường Số 44,Phường Tân Tạo,Hồ Chí Minh,2025-10-13,17322490,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,20m,5,80,yes,yes,yes,yes,
"🌟 ĐỘC QUYỀN SIÊU PHẨM NHÀ 5 TẦNG 1 TUM MỚI XÂY – KHU CÁN BỘ, CÔNG NHÂN VIÊN KHỐI ĐẢNG","10,5 tỷ",100,m²,Đường Cẩm Nam 9,Phường Hòa Xuân,Đà Nẵng,2025-10-13,17486825,Nam,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,6,20,yes,yes,yes,yes,
SIÊU PHẨM NHÀ 3 TẦNG – MẶT TIỀN MAI LÃO BẠNG,"10,3 tỷ",113,m²,Đường Mai Lão Bạng,Phường Hải Châu,Đà Nẵng,2025-10-13,17481640,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,1m",,3,3,yes,yes,yes,yes,
ĐỘC QUYỀN BÁN NHÀ 3 TẦNG MẶT TIỀN HOÀNG DƯ KHƯƠNG – 118M² – NHÀ KIÊN CỐ – GIÁ TỐT NHẤT KHU,"8,5 tỷ",118,m²,Đường Hoàng Dư Khương,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17487532,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,3,6,yes,yes,yes,yes,
"💥GÓC 2 MẶT TIỀN KHUÊ TRUNG - ĐƯỜNG 7.5M GẦN ĐH NGOẠI NGỮ, KIẾN TRÚC, ĐÔNG Á, CHỢ ĐẦU MỐI","14,2 tỷ",190,m²,Đường Lê Ngân,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17480453,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,1,5,,,,,
💥MT TRẦN KHÁNH DƯ – LÕI PHỐ TÂY AN THƯỢNG – 80M2 NGANG 5.7M – VÀI BƯỚC RA BIỂN MỸ KHÊ 🍀,"13,5 tỷ",80,m²,Đường Trần Khánh Dư,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17485054,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,,,,,,,
