title,price,price_per_unit,size,living_area,commercial_type,size_unit,address,land_type,house_type,property_legal_document,property_status,rooms,toilets,furnishing_sell,direction,balconydirection,floornumber,floors,block,pty_characteristics,width,length,apartment_feature
KDC TÂN ĐÔ - CHÍNH CHỦ CẮT LỖ 500 TRIỆU NỀN BIỆT THỰ VIEW HỒ 175m2,"3,3 tỷ","18,86 triệu/m²",175 m²,,,m²,"Đường tỉnh 825, Xã Đức Hòa Hạ, Huyện Đức Hòa, Long An",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ
Nở hậu",10 m,17.5 m,
RA ĐI LÔ ĐẤT 5X27 GIÁ 577TR GÂN TRUNG TÂM CỦ CHI XÃ TÂN THÔNG HỘI,577 triệu,"4,27 triệu/m²",135 m²,,,m²,"Đường Suối Lội, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,tân thông hội,Mặt tiền,5 m,27 m,
"Bán 200m2 đất sẳn nhà cấp 4, gần chợ hưng long, chỉ 750 triệu",750 triệu,"3,75 triệu/m²",200 m²,,,m²,"Đường Đoàn Nguyễn Tuấn, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,10 m,20 m,
Đất Nền 224m² Bình Phước Thanh Toán 183 Triệu Nhận Tiền Thuê Ngay,183 triệu,816.964 đ/m²,224 m²,,,m²,"quốc lộ 13, quốc lộ 757,quốc lộ 14C, đt 759b,dt754, dt758, Xã Lộc Khánh, Huyện Lộc Ninh, Bình Phước",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,45 m,
"Đất nền 6x15 khu Compound, sổ sẵn, tiện ích đầy đủ, xây dựng tự do","1,85 tỷ","20,56 triệu/m²",90 m²,,,,"Đường ĐT. 830, Xã Lương Hòa, Huyện Bến Lức, Long An",Đất thổ cư,,Đã có sổ,,,,,Bắc,,,,Athena,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",6 m,15 m,
"MẶT TIỀN ĐƯỜNG DT 743C NGAY CẦU ÔNG BỐ, BÌNH HÒA – BUÔN BÁN KINH DOANH","3,38 tỷ","37,14 triệu/m²",91 m²,,,,"Đường tỉnh 743C, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,Mặt tiền,4.5 m,20 m,
"Đất thổ cư diện tích 103,5m2 có 64m2 thổ cư","3,35 tỷ","32,52 triệu/m²",103 m²,,,,"Đường Lý Nam Đế, Thị trấn Hóc Môn, Huyện Hóc Môn, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,Hẻm xe hơi,5 m,21.5 m,
"Ngộp, Bán Lô Đất 4,5x18 khu 38 hecta Đối Diện Công Viên","6,75 tỷ","84,38 triệu/m²",80 m²,,,,"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đang chờ sổ,,,,,,,,,,Mặt tiền,4.5 m,18 m,
"Bán đất tại Thới Hòa, Bến Cát, Bình Dương, giá cực chất 1,65 tỷ, 100m2","1,65 tỷ","16,50 triệu/m²",100 m²,,,m²,"G15, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,20 m,
Đất 2 mặt tiền nhựa có thổ cư tại Củ Chi,"4,9 tỷ","3,88 triệu/m²",1263 m²,,,m²,"15, Xã An Nhơn Tây, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,"Mặt tiền
Nở hậu
Thổ cư 1 phần",20 m,60 m,
2 lo đất kp đông A đông hìa dt 90m2 gia đầu tư,"3,85 tỷ","42,78 triệu/m²",90 m²,,,,"Đường Huỳnh Tấn Phát, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Hẻm xe hơi,4.5 m,19 m,
Bán Đất Mặt Tiền ( tặng nhà cấp 4 ),"7,5 tỷ","81,52 triệu/m²",92 m²,,,m²,"HỒ VĂN LONG , Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,4.6 m,20 m,
2 mặt tiền đường sổ riêng thổ cư hết đất giá chỉ 890 triệu,890 triệu,"8,90 triệu/m²",100 m²,,,,"Đường Nguyễn Hoàng, Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,"Hẻm xe hơi
Thổ cư toàn bộ",5 m,20 m,
"Đất tái định cư Châu Thới, 100m2 (5x20) full thổ cư, xây tự do, 2556","4,3 tỷ",43 triệu/m²,100 m²,,,m²,"Đường Quốc lộ 1K, Phường Bình An, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,Đông Nam,,,,,Mặt tiền,5 m,20 m,
"Bán Đất Hiệp Bình Phước 95m2 Ngang 4,5m Hẻm Xe Hơi Quốc Lộ 13 3,95 Tỷ","3,95 tỷ","41,58 triệu/m²",95 m²,,,m²,"Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Nở hậu",4.5 m,21 m,
"🔥 ĐẤT ĐẸP HÓI KIỂNG – NGAY TRỤC MINH MẠNG, NGUYỄN PHƯỚC LAN – 5,x TỶ 🔥","5,4 tỷ","51,43 triệu/m²",105 m²,,,m²,"Đường Hói Kiểng 20, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,21 m,
cần bán gấp lô đất,690 triệu,"8,62 triệu/m²",80 m²,,,,"Đường Liên Ấp 6-2, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất nông nghiệp,,Giấy tờ viết tay,,,,,Bắc,,,,liên ấp đồng danh,Hẻm xe hơi,4 m,20 m,
"BÁN ĐẤT MẶT TIỂN 6A , FULL THỔ CƯ XÂYB DỰNG TỰ DO","4,7 tỷ","37,60 triệu/m²",125 m²,,,m²,"Đường 6A, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,25 m,
✅CẮT LỖ 1 TỶ BÁN ĐẤT 1.350m2 ĐƯỜNG TRUNG LẬP GẦN CHỢ 🔥GIÁ NHỈNH 5 TỶ,"5,5 tỷ","4,07 triệu/m²",1350 m²,,,m²,"Trung Lập , Xã Phú Mỹ Hưng, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,,,
"Bán đất tái định cư Đông Tăng Long,100m2,dân cư đông đúc,gần chợ","6,3 tỷ",63 triệu/m²,100 m²,,,,"Nguyễn Duy Trinh, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất nền dự án,,Đã có sổ,,,,,Bắc,,,,,,6.6 m,15 m,
"Cần bán đất 110m2 giá 650 triệu khu dân cư Basa, xã Phước Hiệp, Củ Chi",650 triệu,"5,91 triệu/m²",110 m²,,,,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,5 m,22 m,
"💥 TĐC MẶT TIỀN HÒA QUÝ – GẦN SÔNG CÁI, SÁT TRỤC NAM KỲ KHỞI NGHĨA 💥","3,2 tỷ",32 triệu/m²,100 m²,,,m²,"Tái Định Cư, Gần Nam Kỳ Khởi Nghĩa, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",5 m,20 m,
đất thổ cư giá rẻ,410 triệu,"1,64 triệu/m²",250 m²,,,,"Đường Nhựa, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
"Bán lô đất biển Xuân Thiều, Liên Chiểu, Đà Nẵng - Chỉ 3,6X Tỷ","3,65 tỷ","45,62 triệu/m²",80 m²,,,,"Xuân Thiều 8, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đất nền dự án,,Đã có sổ,,,,,Tây Bắc,,,,,Mặt tiền,4 m,20 m,
Đất thổ cư Vĩnh Lộc B - Bình Chánh,"3,92 tỷ",28 triệu/m²,140 m²,,,,"Đường Ranh Ấp 1-1B-2A, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,,,
🔴💥Đất Biển MT Xuân Thiều bên hông Khu nghỉ dưỡng Mikazuki,"4,49 tỷ","55,85 triệu/m²",80.4 m²,,,m²,"Xuân Thiều 38, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông Bắc,,,,,Mặt tiền,6 m,,
cần bán lô đất mặt tiền 180 ông ích khiêm Đà Nẵng,28 tỷ,"141,41 triệu/m²",198 m²,,,m²,"180 ông ích khiêm, 180 ông ích khiêm , Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Nở hậu",7.8 m,28.48 m,
"chú Tâm cần bán đất nhà cấp 4, rộng 2541m2, thổ cư, giá rẻ 600tr, SHR",600 triệu,236.127 đ/m²,2541 m²,,,m²,"Đường huyện ĐH507, Xã Tân Hiệp, Huyện Phú Giáo, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Thổ cư 1 phần
Hẻm xe hơi",66 m,,
Cần bán gấp lô đất 5x35. Thổ cư 100m2.  Ngay chợ Chánh lưu. Dân đông,"1,55 tỷ","9,01 triệu/m²",172 m²,,,m²,"dh, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,35 m,
"chính chủ bán đất số 49 Bùi Tấn Diêm, Khu dân cư Phước Lý","4,7 tỷ","44,76 triệu/m²",105 m²,,,,"Bùi Tấn Diêm, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Tây Nam,,,,,,5 m,21 m,
BÁN ĐẤT MẶT TIỀN HÀ HUY GIÁP,"6,7 tỷ",67 triệu/m²,100 m²,,,,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất nền dự án,,Đang chờ sổ,,,,,,,,,,"Mặt tiền
Thổ cư toàn bộ",4 m,25 m,
bán lô đất mặt tiền cây da xề đông hoà hcm dt 100m2,"4,5 tỷ",45 triệu/m²,100 m²,,,,"Cây Da Xề , Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,4 m,25 m,
"Bán Lô đất 99.9m2, 6.6x15.13, khu tái định cư Đông Tăng Long, quận 9","6,3 tỷ","63,06 triệu/m²",99.9 m²,,,m²,"Đường Nguyễn Duy Trinh, Phường Long Trường (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,,6.6 m,15.13 m,
Bán đất măt tiền Thạnh Xuân 43 phường thạnh Xuân -Q12 -dt 96m2(6×16m2),"6,05 tỷ","63,02 triệu/m²",96 m²,,,m²,"Đường Thạnh Xuân 43, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi",6 m,16 m,
Bán 800m thổ cư Ph Phú Hữu. Nhơn Trạch. Đồng Nai,"13,5 tỷ","16,88 triệu/m²",800 m²,,,,"Đường Phan Văn Đáng, Xã Phú Hữu, Huyện Nhơn Trạch, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Hẻm xe hơi
Nở hậu
Thổ cư toàn bộ",20 m,40 m,
Bán đất 2 mặt tiền 294 Huỳnh Ngọc Huệ _ Giá rẻ An Cư,"7,7 tỷ","76,69 triệu/m²",100.4 m²,,,,"Đường Huỳnh Ngọc Huệ, Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Đông,,,,,Mặt tiền,4.9 m,20 m,
"Đường 10,5m Lê Quảng Chí - trục kinh doanh sầm uất nhất Hoà Xuân","8,5 tỷ",85 triệu/m²,100 m²,,,,"Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đất thổ cư,,Đã có sổ,,,,,Tây Bắc,,,,,Mặt tiền,5 m,20 m,
"BÁN CẮT LỖ LÔ ĐẤT ĐẸP 128M2 ĐƯỜNG SỐ 5, TÂN THÔNG HỘI ĐÔNG ĐÚC, SHR",560 triệu,"4,38 triệu/m²",128 m²,,,m²,"Đường Số 5, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,Mặt tiền,5 m,25.6 m,
Bán đất khú dân cư icon central dĩ an,"3,28 tỷ","54,67 triệu/m²",60 m²,,,m²,"Đường Số 5, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu",4 m,15 m,
bán lô dất khu tái định cư bigc  đông hoà  gần siêu thu go,"4,5 tỷ","57,69 triệu/m²",78 m²,,,,"Đường số 5, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,4.6 m,17 m,
ĐẤT ĐẸP  VĨNH THANH  NHƠN TRẠCH ĐỒNG NAI FULL  THỔ,"1,3 tỷ","15,48 triệu/m²",84 m²,,,,"Đường Hòa Bình, Xã Vĩnh Thanh, Huyện Nhơn Trạch, Đồng Nai",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",4.6 m,18.3 m,
"Đất 2 lô liền kềngay nga tư Chiêu Liêu,Tân Đông Hiệp,TP Dĩ An","3,55 tỷ","49,31 triệu/m²",72 m²,,,m²,"Đường Lê Hồng Phong, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương",Đất thổ cư,,Đã có sổ,,,,,,,,,,,4 m,18 m,
BÁN LÔ ĐẤT NGAY MẶT TIỀN HÀ HUY GIÁP CHỈ 70m2 chỉ với 67tr/ 1m2,"6,7 tỷ",67 triệu/m²,100 m²,,,m²,"hà quy giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đất thổ cư,,Đã có sổ,,,,,,,,,,"Mặt tiền
Hẻm xe hơi",4 m,25 m,
